initCGM,output_cgm,state_Q2,state_S1,state_S2,state_I,state_X1,state_X2,state_X3,state_Ug,state_Ug2
73,-0.5371510982513428,-0.9954584836959839,-0.2672079801559448,-0.4584764838218689,-0.44968071579933167,-0.5056620240211487,-0.4327753186225891,-0.4234830141067505,-0.11854371428489685,1.3624999523162842
74,-0.5252244472503662,-0.9914528727531433,-0.26719558238983154,-0.46538031101226807,-0.455630362033844,-0.5045467019081116,-0.4396449327468872,-0.42738378047943115,-0.11647962033748627,1.3624999523162842
75,-0.5132978558540344,-0.988514244556427,-0.26720577478408813,-0.4700278341770172,-0.4596134424209595,-0.5032288432121277,-0.443941205739975,-0.4304325580596924,-0.11434470862150192,1.3624999523162842
76,-0.5013712644577026,-0.9887643456459045,-0.2672000825405121,-0.47988805174827576,-0.4679683446884155,-0.5110719203948975,-0.4532947540283203,-0.43855011463165283,-0.11264201253652573,1.3624999523162842
77,-0.48944464325904846,-0.9870319962501526,-0.26720577478408813,-0.4883876144886017,-0.47423064708709717,-0.5129541754722595,-0.45983290672302246,-0.4509788155555725,-0.11133349686861038,1.3624999523162842
78,-0.4775180220603943,-0.9893114566802979,-0.2671832740306854,-0.49323368072509766,-0.4777345359325409,-0.5182726383209229,-0.463221937417984,-0.46104931831359863,-0.10853197425603867,1.3624999523162842
79,-0.4655914306640625,-0.9863219261169434,-0.26720789074897766,-0.48571038246154785,-0.4721646308898926,-0.500700056552887,-0.4558790624141693,-0.4274428188800812,-0.08712835609912872,1.3624999523162842
80,-0.4536648094654083,-0.9833191633224487,-0.26719167828559875,-0.49858370423316956,-0.48151248693466187,-0.5071697235107422,-0.4674544036388397,-0.44451189041137695,-0.08049799501895905,1.3624999523162842
81,-0.44173821806907654,-0.9762612581253052,-0.2672048807144165,-0.5050303936004639,-0.4860832989215851,-0.5148041248321533,-0.472513347864151,-0.4570149779319763,-0.07724431157112122,1.3624999523162842
82,-0.42981159687042236,-0.9571076035499573,-0.267179936170578,-0.5110510587692261,-0.49035704135894775,-0.527303159236908,-0.47653254866600037,-0.4732200503349304,-0.08975794166326523,1.3624999523162842
83,-0.4178849756717682,-0.9509401917457581,-0.2671782970428467,-0.514325737953186,-0.4927586615085602,-0.5222969651222229,-0.47937846183776855,-0.46577852964401245,-0.07682327181100845,1.3624999523162842
84,-0.4059583842754364,-0.9421794414520264,-0.2672005891799927,-0.5196241140365601,-0.4966724216938019,-0.5263164639472961,-0.48346826434135437,-0.47089362144470215,-0.07761239260435104,1.3624999523162842
85,-0.3940317630767822,-0.9324311017990112,-0.2672061026096344,-0.5223758220672607,-0.49869999289512634,-0.528174638748169,-0.48574376106262207,-0.4695562720298767,-0.0766100063920021,1.3624999523162842
86,-0.38210517168045044,-0.9244139790534973,-0.2671906054019928,-0.5296959280967712,-0.5041086077690125,-0.5322636961936951,-0.49140074849128723,-0.47720178961753845,-0.07779819518327713,1.3624999523162842
87,-0.37017855048179626,-0.8986953496932983,-0.267202228307724,-0.5389783382415771,-0.5109877586364746,-0.5549511313438416,-0.4985129237174988,-0.5018385648727417,-0.10389983654022217,1.3624999523162842
88,-0.3582519590854645,-0.9014676213264465,-0.26720261573791504,-0.5187289118766785,-0.4959987998008728,-0.533146858215332,-0.4835629463195801,-0.45526424050331116,-0.07839883118867874,1.3624999523162842
89,-0.3463253378868103,-0.8949313163757324,-0.2671818137168884,-0.5224895477294922,-0.49877652525901794,-0.5364118218421936,-0.4865613579750061,-0.45783019065856934,-0.07841985672712326,1.3624999523162842
90,-0.33439871668815613,-0.888342559337616,-0.26718586683273315,-0.5263068079948425,-0.5015963912010193,-0.5395808219909668,-0.4896078407764435,-0.46045422554016113,-0.07843506336212158,1.3624999523162842
91,-0.32247212529182434,-0.882524847984314,-0.26718950271606445,-0.5296260118484497,-0.5040372610092163,-0.5440055727958679,-0.49227800965309143,-0.462565153837204,-0.07845203578472137,1.3624999523162842
92,-0.31054550409317017,-0.8768921494483948,-0.2671926021575928,-0.5329747200012207,-0.5065094828605652,-0.5471506714820862,-0.4949283003807068,-0.4645852744579315,-0.07842210680246353,1.3624999523162842
93,-0.2986189126968384,-0.8718745708465576,-0.26721206307411194,-0.5366937518119812,-0.5092552900314331,-0.5486106276512146,-0.4978727102279663,-0.46692267060279846,-0.07840710133314133,1.3624999523162842
94,-0.2866922914981842,-0.8597859740257263,-0.2671985924243927,-0.5425847768783569,-0.5136122107505798,-0.5429059863090515,-0.5023971796035767,-0.47077831625938416,-0.07827137410640717,1.3624999523162842
95,-0.2747657001018524,-0.8507837057113647,-0.2671942710876465,-0.5464801788330078,-0.5164875388145447,-0.545039713382721,-0.5054706335067749,-0.47326338291168213,-0.07830739766359329,1.3624999523162842
96,-0.26283907890319824,-0.8402559757232666,-0.2671830356121063,-0.550243079662323,-0.5197951197624207,-0.5470907092094421,-0.5089296102523804,-0.47605788707733154,-0.07830165326595306,1.3624999523162842
97,-0.25091245770454407,-0.8246443271636963,-0.2671950161457062,-0.5540309548377991,-0.5233399271965027,-0.5440123081207275,-0.5125530958175659,-0.4797526001930237,-0.07845848053693771,1.3624999523162842
98,-0.23898586630821228,-0.8100382685661316,-0.2672055959701538,-0.5582800507545471,-0.5273211598396301,-0.5417909026145935,-0.5167597532272339,-0.4835168421268463,-0.07849089056253433,1.3624999523162842
99,-0.2270592600107193,-0.8007745742797852,-0.2671869695186615,-0.5620919466018677,-0.5308922529220581,-0.5451002717018127,-0.5205258727073669,-0.48676058650016785,-0.07849274575710297,1.3624999523162842
100,-0.21513263881206512,-0.7916294932365417,-0.2671799659729004,-0.5651851892471313,-0.5337913632392883,-0.5486235618591309,-0.5235819220542908,-0.4892077147960663,-0.07849055528640747,1.3624999523162842
101,-0.20320603251457214,-0.7825015783309937,-0.2671900987625122,-0.568217933177948,-0.5366320610046387,-0.5521685481071472,-0.5265805721282959,-0.4916178584098816,-0.07848799973726273,1.3624999523162842
102,-0.19127942621707916,-0.7733652591705322,-0.2671942412853241,-0.5714327692985535,-0.5396454930305481,-0.5556772351264954,-0.5297548174858093,-0.49427035450935364,-0.07848703861236572,1.3624999523162842
103,-0.17935281991958618,-0.7642604112625122,-0.2671932876110077,-0.5742225050926208,-0.5422593355178833,-0.5592554211616516,-0.5325080156326294,-0.496631383895874,-0.07848675549030304,1.3624999523162842
104,-0.1674262136220932,-0.7557547688484192,-0.2671985328197479,-0.5765110850334167,-0.5444014668464661,-0.5635548233985901,-0.5346928834915161,-0.49862390756607056,-0.07852907478809357,1.3624999523162842
105,-0.15549960732460022,-0.7468770146369934,-0.2671954929828644,-0.579096794128418,-0.5468252301216125,-0.5673397779464722,-0.5372583270072937,-0.5007928013801575,-0.07849179953336716,1.3624999523162842
106,-0.14357298612594604,-0.7380008697509766,-0.2671884596347809,-0.5816081166267395,-0.5491807460784912,-0.5711393356323242,-0.5397483706474304,-0.5029634237289429,-0.0784633606672287,1.3624999523162842
107,-0.13164637982845306,-0.7291731834411621,-0.2671810984611511,-0.5840552449226379,-0.5514730215072632,-0.5748888850212097,-0.5421881079673767,-0.5049456357955933,-0.07842464745044708,1.3624999523162842
108,-0.11971977353096008,-0.7206994295120239,-0.2672155797481537,-0.5864363312721252,-0.5537047386169434,-0.5783234238624573,-0.5445636510848999,-0.5068634152412415,-0.07838820666074753,1.3624999523162842
109,-0.1077931672334671,-0.7125954627990723,-0.2671984136104584,-0.5889065265655518,-0.5560199022293091,-0.5812052488327026,-0.5470219254493713,-0.5090724229812622,-0.07830674201250076,1.3624999523162842
110,-0.09586656093597412,-0.7038228511810303,-0.2672046422958374,-0.59146648645401,-0.5584185719490051,-0.584839940071106,-0.5495684146881104,-0.5113304257392883,-0.07826489955186844,1.3624999523162842
111,-0.08393994718790054,-0.6951491832733154,-0.267185777425766,-0.5938505530357361,-0.5606522560119629,-0.5886155366897583,-0.5519407391548157,-0.5133285522460938,-0.07822026312351227,1.3624999523162842
112,-0.07201334089040756,-0.6860794425010681,-0.2671813368797302,-0.5960588455200195,-0.5627222657203674,-0.5918970108032227,-0.5541130304336548,-0.5154157876968384,-0.07814015448093414,1.3624999523162842
113,-0.06008673459291458,-0.6768410801887512,-0.26718756556510925,-0.5982027053833008,-0.5647299885749817,-0.5949388146400452,-0.5562107563018799,-0.5175203680992126,-0.0780317485332489,1.3624999523162842
114,-0.0481601245701313,-0.669346034526825,-0.2672015428543091,-0.6009300351142883,-0.5677403807640076,-0.5975420475006104,-0.5592738389968872,-0.5204108953475952,-0.07761755585670471,1.3624999523162842
115,-0.03623351454734802,-0.6613059639930725,-0.2672114968299866,-0.6034829616546631,-0.5706813335418701,-0.5997117161750793,-0.5623765587806702,-0.5231956839561462,-0.07764865458011627,1.3624999523162842
116,-0.024306906387209892,-0.6533561944961548,-0.2672041654586792,-0.6058509349822998,-0.5734080672264099,-0.6019948720932007,-0.565256655216217,-0.5258353352546692,-0.07767806947231293,1.3624999523162842
117,-0.012380298227071762,-0.645867109298706,-0.2672083079814911,-0.6080409288406372,-0.5759267807006836,-0.6038581132888794,-0.5679399967193604,-0.5275811553001404,-0.0776745155453682,1.3624999523162842
